Sensitivity,ReadingProfile,SubjID
INSENSITIVE,ORTHOGRAPHIC,S106
INSENSITIVE,ORTHOGRAPHIC,S107
INSENSITIVE,ORTHOGRAPHIC,S111
INSENSITIVE,ORTHOGRAPHIC,S127
INSENSITIVE,ORTHOGRAPHIC,S132
INSENSITIVE,ORTHOGRAPHIC,S133
INSENSITIVE,ORTHOGRAPHIC,S135
INSENSITIVE,ORTHOGRAPHIC,S140
INSENSITIVE,ORTHOGRAPHIC,S145
INSENSITIVE,ORTHOGRAPHIC,S156
INSENSITIVE,SEMANTIC,S101
INSENSITIVE,SEMANTIC,S104
INSENSITIVE,SEMANTIC,S114
INSENSITIVE,SEMANTIC,S115
INSENSITIVE,SEMANTIC,S118
INSENSITIVE,SEMANTIC,S120
INSENSITIVE,SEMANTIC,S124
INSENSITIVE,SEMANTIC,S125
INSENSITIVE,SEMANTIC,S130
INSENSITIVE,SEMANTIC,S137
INSENSITIVE,SEMANTIC,S144
INSENSITIVE,SEMANTIC,S155
INSENSITIVE,SEMANTIC,S157
INSENSITIVE,SEMANTIC,S158
INSENSITIVE,SEMANTIC,S159
INSENSITIVE,SEMANTIC,S160
INSENSITIVE,SEMANTIC,S172
SENSITIVE,ORTHOGRAPHIC,S105
SENSITIVE,ORTHOGRAPHIC,S108
SENSITIVE,ORTHOGRAPHIC,S109
SENSITIVE,ORTHOGRAPHIC,S110
SENSITIVE,ORTHOGRAPHIC,S117
SENSITIVE,ORTHOGRAPHIC,S122
SENSITIVE,ORTHOGRAPHIC,S131
SENSITIVE,ORTHOGRAPHIC,S134
SENSITIVE,ORTHOGRAPHIC,S139
SENSITIVE,SEMANTIC,S113
SENSITIVE,SEMANTIC,S116
SENSITIVE,SEMANTIC,S119
SENSITIVE,SEMANTIC,S123
SENSITIVE,SEMANTIC,S138
SENSITIVE,SEMANTIC,S150
SENSITIVE,SEMANTIC,S152
SENSITIVE,SEMANTIC,S170
SENSITIVE,SEMANTIC,S171,